file_name,tempo,energy,spectral_centroid,spectral_bandwidth,spectral_rolloff,zero_crossing_rate,chroma_mean,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,valence,arousal
1200 Micrograms - Mescaline (Astrix Remix).mp3,143.5546875,0.182698,2464.339995496523,2435.4786985892556,5138.219550404626,0.11332133804450883,0.5228542,-82.66985,85.80241,-11.419852,14.44556,-1.5229545,8.799038,-1.4898442,4.836786,-1.6345053,4.495015,-2.2126565,2.3057406,-2.8374107,0.4928679990993046,0.02622715379402507
1200 Micrograms - Three (Lets Get This Party Started).mp3,99.38401442307692,0.2363657,2712.6178935844678,2567.6787569659723,5617.221445659208,0.12251262597078402,0.46238494,-34.14129,76.44349,-13.795312,8.903039,-2.4525805,6.98487,-2.5961566,4.433535,-0.7929169,4.187752,-0.6231008,3.6033385,-1.1602745,0.5425235787168936,0.023490972707245067
1DOIZ - Na Pracinha.mp3,129.19921875,0.27280298,2340.811551897318,2355.8664147798495,4755.069107651553,0.08214153642976635,0.48222476,-144.39125,71.82077,13.175657,27.392487,0.57047135,11.372434,5.8783784,2.8292677,-1.8022561,6.7202415,1.2846756,3.9826772,1.9457014,0.46816231037946365,0.03524593172769528
33 Below & DRIIA - LOYAL.mp3,135.99917763157896,0.2360316,2458.678704843342,2494.5571804979763,5286.9221111650695,0.10604928184550817,0.3995456,-64.4815,90.76179,-11.399431,3.776967,1.1114726,-0.045074385,-1.2372149,-3.598386,-4.7765574,4.4322534,-4.4063196,3.3380961,-7.1706367,0.4917357409686684,0.0321001044189631
40D - Manga.mp3,123.046875,0.22694457,2259.091988465566,2580.224584888924,5187.642023025093,0.0732780640678873,0.46398348,-89.58919,95.455185,10.850312,18.851141,8.321814,12.241935,4.6106358,7.7108293,3.9726856,5.2149124,0.72087544,5.9324017,1.7797794,0.45181839769311316,0.02792481961660087
4i20 & Claudinho Brasil - Bach (Mandragora & Devochka Remix) (feat. Mandragora & Devochka).mp3,129.19921875,0.25345454,1673.1077434914246,1910.4019202467675,3568.041886954472,0.06802386538083265,0.48988137,-156.50482,106.04096,10.890065,21.611938,1.9900054,7.4210973,0.20503476,2.5227818,-2.1523213,1.9720888,-1.0999628,1.6839604,0.98801607,0.3346215486982849,0.032746128065628
A-Mase - La Macarena (Extended Mix).mp3,123.046875,0.28058112,2678.720058355319,2497.198363108481,5400.508808375609,0.12054926621300775,0.5544859,-92.21569,70.460945,0.33611494,14.430437,-0.15627348,5.428244,-0.5303359,6.7088957,2.6069024,9.885435,2.532082,8.413585,-3.4661183,0.5357440116710638,0.03452462959103286
Aazar - Wild Out.mp3,123.046875,0.29942745,3038.1749328629453,2574.3273674806323,5993.904771897964,0.157887989095125,0.5309944,-37.024796,56.79415,-5.774198,20.473291,-4.9376507,18.476446,5.179712,6.1778064,-5.002484,7.128777,6.8053637,11.947123,-2.3171756,0.6076349865725891,0.036843611975200474
AC Slater & Young Lyxx - Bass Face.mp3,129.19921875,0.35234168,2611.686560506242,2650.0694440523685,5567.285091203652,0.11107047951424132,0.55989593,-36.492447,77.80938,12.1935835,23.281229,10.225564,9.457357,-2.3956845,5.8453126,-4.4181185,2.5822105,-1.6635898,1.2379996,-2.8121798,0.5223373121012485,0.045522270011133514
AC Slater - Laid Off.mp3,129.19921875,0.25078127,2828.7620057663166,2480.1101564963146,5494.194574409527,0.1309131940969442,0.48425454,-95.08789,53.11709,-9.609369,11.364484,-8.729108,1.5732937,-4.9324093,2.9283683,-5.772894,-0.39145795,-5.413978,-0.6834564,-5.4227595,0.5657524011532633,0.0324007438874105
"AC Slater, Chris Lorenzo & Fly With Us - Seismic.mp3",129.19921875,0.26494205,2932.789676047936,2703.2700054247152,6090.257983066236,0.14267397320432745,0.50846326,-65.98418,59.791805,12.57277,22.966139,5.766523,19.637686,8.612216,7.687166,0.14572105,0.87274677,-1.9822134,4.3769445,3.7315624,0.5865579352095872,0.03423030587146059
ACRAZE - Do It To It (feat. Cherish).mp3,123.046875,0.22119261,2930.3645448932643,2638.2130403729166,5886.126407398897,0.1278527113970588,0.46844718,-110.41227,58.33573,2.3159342,13.583781,0.56239045,1.0301694,-5.5392084,4.086961,-5.721132,4.4790454,-5.5381446,2.5255055,-6.0747585,0.5860729089786528,0.02721705983276479
"AC_DC - TNT (Blazy, Change & Vermont Remix).mp3",135.99917763157896,0.22906028,2493.65522767324,2320.7735490698096,5078.308833644181,0.1265559927731504,0.4806986,-86.63752,77.64288,-10.619002,19.022247,-2.4731789,4.38572,-2.899621,4.4356756,0.6631563,3.253106,1.9854162,6.0482364,-1.4950368,0.498731045534648,0.0311520093466817
